Hedysarum xizangensis	西藏岩黄芪
Alpinia officinarum	高良姜
Desmognathus m.jeffersoni	
Polygonum viviparum var. tenuifolium	细叶珠芽蓼
Callicebus baptista	巴蒂斯特湖伶猴
Melitta heilungkiangensis	黑龙江准蜂
Papilio protenor subsp. protenor	蓝美凤蝶指名亚种
Entodon longifolius	长叶绢藓
Deutzia calycosa var. xerophyta	旱生溲疏
Babax waddelli subsp. waddelli	大草鹛
Synodus hoshinonis	肩斑狗母鱼
Hopea shingkeng	西藏坡垒
Dendrocopos atratus	纹胸啄木鸟;纹胸啄木
Crepis longipes	长履苔虫
Lagotis integrifolia	亚中兔耳草
Rhacophorus b.chapaensis Bourret	伯氏树蛙沙巴亚种
Ophionereis eurybrachiplax	宽腕蜒蛇尾
Crotaphytus wislizeni Baird et Girard	黑斑项圈蜥
Padda oryzivora (Linnaeus,)	禾雀
Malaxis bahanensis	云南沼兰
Neophema bourkii	伯克氏鹦鹉
Gobio meridionalis	南方鮈
Digitaria ciliaris var. chrysoblephara	毛马唐
Chiropterotriton xolocalcae(Taylor)	苏氏膜螈
Berberis bergmanniae	汉源小檗;汶川小檗
Pseudobagrus omeihensis	峨眉拟鲿
Kogia  simus	矮抹香鲸，拟小抹香鲸
Stelis aculeata	尖腹暗蜂
Changjiangosaurus huananensis	华南长江蜥
Phalacrocorax carboLinnaeus	普通鸬鹚
Lophuromys luteogaster	黄腹刚毛鼠
Xylocopa melli	曼氏木蜂
Myrmotherula sclateri	巴西蚁鹩
Lepidogrammitis kansuensis	甘肃骨牌蕨
Calodactylodes illingworthi	斯里兰卡丽趾虎
Cypripedium debile	对叶杓兰
Enyalius fitzingeri	裴氏南美蜥
Parnassius nomion subsp. shansiensis	小红珠绢蝶山西亚种
Carduelis thibetanus	藏黄雀
Etlingera yunnanensis	茴香砂仁
Cymbacephalus nematophthalmus	孔鲬
Baimashania wangii	王氏白马芥
Diplazium subsinuatum	单叶双盖蕨
Porpax ustulata	盾柄兰
Microula muliensis	木里微孔草
Glyptothorax minimaculatus	细斑纹胸鮡
Kermia pumila	紫罗兰棋盘螺
Rhamdia wagneri	瓦氏蓝棣鲇
Qinlingea brachystylata	短翅秦岭露螽
Pseudalopex gymnocercus	河狐
Phelsuma serraticauda Mertens	锯尾残趾虎
Ligustrum henryi	丽叶女贞
Byblis rhinoceros	鼻沙钩虾
Sympetrum kunckeli	孔凯蜻蜓
Pinus kwangtungensis	华南五针松;变叶华南五针松
Rubus hirsutus	蓬蘽;短梗蓬蘽
Rousettus celebensis	苏拉威西果蝠;西里伯斯果蝠
Symphyodon weymouthioides	贵州刺果藓
Hyphessobrycon rutiliflavidus	红黄魮脂鲤
Dendrobium trigonopus	翅梗石斛
Chama fragum	草莓猿头蛤
Phylloscopus magnirostris	乌嘴柳莺
Turdus grayi	泥色鸫
Metapenaeus elegans	美丽新对虾
Isodon nervosus	显脉香茶菜
Rubus innominatus var. kuntzeanus	无腺白叶莓
Prunella rubeculoides	鸲岩鹨
Aster batangensis	巴塘紫菀匙叶变种;巴塘紫菀
Thespesia lampas	白脚桐棉
Lithocarpus chifui	粤北柯
Lepidonotus hainanicus	海南背鳞虫
Lysmata debelius	锯齿双鞭虾
Rana anlungensis	安龙臭蛙
Hanceola cordiovata	心卵叶四轮香
Anomodon perlingulatus	带叶牛舌藓
Sibon argus	光亮钝蛇
Dasyatis atratus	黑魟
Notomys  longicaudatus	长尾弹鼠
Mirafra africana	棕颈歌百灵
Indicator archipelagicus	马来响蜜鴷
Melomys moncktoni	南方裸尾鼠
Rosa webbiana	藏边蔷薇
Kobresia stolonifera	匍茎嵩草
Scurrula phoebe-formosanae	楠树梨果寄生
Camellia grijsii var. shensiensis	小叶短柱茶
Alopecosa aurita	耳舞蛛
Bufo poeppigii Tschudi	波皮蟾蜍
Brandisia glabrescens var. hypochrysa	退毛来江藤黄背变种
Agkistrodon blomhoffii brevicaudus Stejneger	日本蝮短尾亚种
Bufo b.andrewsi Schmidt	大蟾蜍华西亚种
Thalamita malaccensis	马六甲短桨蟹
Meconopsis discigera	毛盘绿绒蒿
Pedilanthus tithymaloides	红雀珊瑚
Polycentropsis abbreviata Boulenger	西非叶鲈
Lagotis kongboensis	粗筒兔耳草
Mussaenda hainanensis	海南玉叶金花
Myioparus plumbeus	灰蝇鹟
Periclimenaeus stylirostris	细角小岩虾
Anthoxanthum nitens	茅香
Neyraudia arundinacea	大类芦
Heterophasia gracilis	灰奇鹛
Mixophyes balbus Straughan	喷横斑蟾
Genicanthus macclesfieldiensis	中沙月蝶鱼
Sabia dielsii	平伐清风藤
Fimbristylis hookeriana	金色飘拂草
Accipiter virgatus subsp. nisoides	松雀鹰
Kaloula p.taprobanica	
Oreotragus Oreotragus	山羚
Locustella lanceolata subsp. lanceolata	矛斑蝗莺
Neonotonia wightii	爪哇大豆
Rhododendron liboense	荔波杜鹃
Panicum brevifolium	短叶黍
Calligonum mongolicum	沙拐枣
Plethodon c.serratus Grobman	灰红背无肺螈锯状亚种
Trochus sacellum	褶条马蹄螺
Niviventer tenaster	缅甸山鼠
Laniarius funebirds	暗灰黑伯劳
Garrulax pectoralis	黑领噪鹛
Betashachia gregarius	长栉昏舟蛾
Pteris excelsa	溪边凤尾蕨;变异凤尾蕨
Rhus taishanensis	泰山盐肤木
Saussurea brachylepsis	短苞风毛菊
Lampropholis delicata	柔滑蜥
Haplosphaera phaea	单球芹
Barbus claudinae	克劳迪娜魮
Thalamita wakensis	威克短桨蟹
Tachytrechus guangxiensis	广西迅长足虻
Ogmodon vitianus	斐济蛇
Limia nigrofasciata	黑带泥鳉
Primula sertulum	小伞报春
Muraenesox talabon	原鹤海鳗
Menidia menidia	月银汉鱼
Steudnera colocasiifolia	泉七
Hybomys lunaris	乌干达驼鼠
Aglaophamus lyrochaeto	弦毛内卷齿蚕
Glaucidium passerinum subsp. orientale	花头鸺鹠
Ammospermophilus insularis	墨西哥羚松鼠
Rhamphophryne macrorhina	大鼻钩吻蟾
Ichthyocampus belcheri	勃氏鱼海龙
Potanthus confucius confucius	孔子黄室弄蝶
Capparis bodinieri	野香橼花
Neptis ilos	伊洛环蛱蝶
Eothenomys wardi	德钦绒鼠
Disperis nantauensis	香港双袋兰
Boophis rhodoscelis	红腿牛眼蛙
Medinilla septentrionalis	北酸脚杆
Sylvietta ruficapilla	红帽森莺
Devario fraseri	弗雷泽氏大鿕
Polystichum langchungense	浪穹耳蕨
Spiraea japonica var. fortunei	光叶绣线菊
Pseudectroma longicauda	长尾秀德跳小蜂
Halichondria rugosa	皱皮软海绵
Odorrana leporipes	龙头山臭蛙
Cyrtodactylus kachhensis	库奇弓趾虎
Anthophora plagiata	盗条蜂
Liosaccus cutaneus	密沟鲀
Kalimeris incisa	裂叶马兰
Hypererythrops spinifera	超红糠虾
Solenanthus hupehensis	湖北长蕊琉璃草
Koelreuteria paniculata	栾树
Asarum sieboldii	汉城细辛
Taraxacum minutilobum	毛叶蒲公英
Mesoenas variegata	白胸拟鹑
Phragmites australis	芦苇
Tragopan satyra	红胸角雉
Nepeta supina	平卧荆芥
Lioconcha dautzenbergi	道氏光壳蛤
Byasa latreillei subsp. latreillei	纨裤麝凤蝶指名亚种
Bambusa longipalea	紫斑簕竹
Juncus potaninii	单枝灯心草
Neozephyrus taiwanus	台湾翠灰蝶
Hyla lafrentzi Mertens et Wolterstorff	拉弗雨蛙
Pternopetalum yiliangense	宜良囊瓣芹
Acrocephalus aedon	厚嘴芦莺;芦莺;厚嘴苇莺
Rubus rufus	长梗棕红悬钩子;掌裂棕红悬钩子;棕红悬钩子
Serratula cardunculus	分枝麻花头
Donax dysoni	狄氏斧蛤
Phalacrocorax gaimardi	红腿鸬鹚
Periergos orpheus	琴纡舟蛾
Gerbillus bottai	博氏小沙鼠
Cyananthus sherriffii	杂毛蓝钟花
Metacalypogeia alternifolia	疏叶假护蒴苔
Leymus ramosus	单穗赖草
Cyclocosmia latusicosta	宽肋盘腹蛛
Hirundo atrocaerulea	蓝燕
Lembos tridens	三齿船钩虾
Canthium hainanense	琼梅
Astyanax scintillans	火丽脂鲤
Phylidonyris melanops	茶冠澳吸蜜鸟
Amitostigma dolichocentrum	长距无柱兰
Distyliopsis dunnii	尖叶假蚊母树
Luciosoma spilopleura	长鳍梭大口鱼
Parabothus chlorospilus	绿斑拟鲆
Corydalis franchetiana	春丕黄堇
Pronephrium hekouensis	河口新月蕨
Eleutherodactylus pantoni Dunn	潘顿卵齿蟾
Salamandra s.infraimmaculata	
Schizoeaca helleri	高山蓟尾雀
Corispermum macrocarpum	大果虫实
Parnassius acco subsp. rosea	爱珂绢蝶北拉萨亚种
Primula tenuiloba	细裂小报春
Hemsleya carnosiflora	肉花雪胆
Centrolenella prosoblepon Boettger	前驱小跗蛙
Ploceus dorsomaculatus	黄顶织布鸟
Corydalis aeaeae	茂县紫堇
Ichthyophis dulitensis	得利鱼螈
Sedum pagetodes	寒地景天
Aquila audax	楔尾雕;楔尾鵰
Barnea fragilis	脆壳海笋
Pachliopta aristolochiae goniopeltis	红珠凤蝶;红纹凤蝶
Bruinsmia polysperma	歧序安息香
Phragmites karka	卡开芦
Dicrostonyx nunatakensis	奥山环颈旅鼠
Cynops ophricas Risch	汕头蝾螈
Puccinia nepalensis	尼泊尔柄锈菌
Salix paratetradenia var. yatungensis	亚东柳
Dalbergia millettii	香港黄檀
Eremias vermiculata Blanford	虫纹麻蜥
Milium effusum	粟草
Tamias siskiyou	俄勒冈花鼠
Forsstroemia cryphaeoides	拟隐蒴残齿藓
Rubus wuzhianus	锯叶悬钩子
Plectrohyla matudai	马图达拇雨蛙
Berberis purdomii	延安小檗
Luciosoma pellegrini	佩氏梭大口鱼
Puccinia minshanensis	岷山柄锈菌
Mallotus lianus	东南野桐
Leiolopisma punctatolinentum	链纹滑蜥
Artemisia nilagirica	南亚蒿
Chondrostoma variabilis	杂色软口鱼
Cephalobares yangdingi	杨氏巨头蛛
Microlepia szechuanica	四川鳞盖蕨
Doryrhamphus negrosensis malus	丑双棘矛吻海龙
Oligodon multizonatum Zhao et Jiang	横纹小头蛇
Kobresia uncinoides	钩状嵩草
Silvianthus bracteatus	蜘蛛花
Changea yangguifei	嫦舟蛾
Apalis cherindensis	梅尔塞娇莺
Atherina hepsetus	真银汉鱼
Lanius nubicus	云斑伯劳
Urocystis sorosporioides	堆孢条黑粉菌
Urena procumbens	梵天花;小叶梵天花
Serpophaga araguayae	香蕉姬霸鹟
Diploprion bifasciatum	双带黄鲈;黄鲈
Coelioxys yunnanensis	云南尖腹蜂
Primula aromatica	香花报春
Glabrilutjanus nematophorus	丝鳍笛鲷
Anas poecilorhyncha subsp. zonorhyncha	斑嘴鸭
Phytolacca acinosa	商陆
Rhacophorus l.leprosus Mueller	疣斑树蛙指名亚种
Pedicularis taliensis	大理马先蒿
Ranunculus banguoensis	普兰毛茛;班戈毛茛
Porphyra ramosissima	多枝紫菜
Gloydius blomhoffii	日本蝮
Sorbus kiukiangensis var. glabrescens	无毛俅江花楸
Tetrastigma ceratopetalum	角花崖爬藤
Picumnus dorbygnianus	眼斑姬啄木
Puccinia wulingensis	雾灵柄锈菌
Pseudocyclosorus ciliatus	溪边假毛蕨
Ardisia pseudocrispa	块根紫金牛
Paractaea garretti	加氏拟银杏蟹
Carrierea calycina	山羊角树
Calliglutus smithi Barbour et Noble	史氏丽喉蛙
Codonopsis rosulata	莲座状党参
Nannophrys c.marmorata	
Maxates acutissima subsp. perplexata	丛尖尾尺蛾海南亚种
Litsea glutinosa	潺槁木姜子
Aplocheilichthys johnstoni	约氏灯鳉
Cheirogaleus minusculus	小铁灰鼠狐猴
Parasenecio komarovianus	星叶蟹甲草
Merremia sibirica var. vesiculosa	囊毛鱼黄草
Cetorhinus maximus	姥鲨
Audouinella nakamurae	中村旋体藻
Telicota ancilla	红翅长标弄蝶
Rhododendron trichogynum	理县杜鹃
Pteruthius xanthochlorusJ. E. Gray	淡绿鵙鹛
Ilex dicarpa	双果冬青
Marsdenia pseudotinctoria	假蓝叶藤
Gobiodon micropus	小鳍叶鰕虎鱼
Sedum oligospermum	大苞景天
Strobilanthes henryi	南一笼鸡
Lycosa pavlovi	巴氏狼蛛
Cortinarius rutilus	血红铆钉菌
Leptotes plinius	细灰蝶;角纹小灰蝶
Cinclodes fuscus	斑翅克洛雀
Philautus petersi	彼得小树蛙
Stellaria radians	繸瓣繁缕
Callosciurus finlaysonii	白背松鼠
Plagiogyria japonica	华东瘤足蕨
Pandaka pygmaea Herre	矮鰕虎鱼
Hyla depressiceps	扁头雨蛙
Lactuca sativa	莴苣
Chrysozephyrus kabrus	加布雷金灰蝶
Anabarilius albrunops	银白鱼
Tersina viridis	燕嘴雀
Grallaria varia	杂色蚁八色鸫
Micoureus constantiae	白腹绵鼠负鼠;阿根廷鼠(鼠儿)
Ancistroides nigrita	黑色钩弄蝶
Ichthyophis forcarti Taylor	福氏鱼螈
Lonicera retusa	凹叶忍冬
Lespedeza ionocalyx	柴萼胡枝子
Bembrops curvatura	曲线鲬状鱼
Festuca brachyphylla	短叶羊茅
Rana whiteheadi Boulenger	怀特蛙
Petrorossia salqamum（图108）	锐越蜂虻
Laeops kitaharae	北原左鲆
Physalaemus signiferus	斑符泡蟾
Rheobatrachus vitellinus Mahony	孵溪蟾
Metapenaeopsis consobrina	门司赤虾
Platypeltis subcircularis	亚圆板鳖
Caranx armatus	甲裸胸鲹
Fimbristylis longistipitata	长柄果飘拂草
Plotosus anguillaris	鳗鲇
Vireo solitarius	孤绿鹃
Neoctantes niger	黑丛鸟
Culiciciapa ceylonensis	方尾鹟
Camellia ptilophylla	毛叶茶
Delias berinda subsp. wilemani	倍林斑粉蝶台湾亚种
Heliophobius argenteocinereus	霜鼠
Crataegus chungtienensis	中甸山楂
Aviceda jerdoni	褐冠鹃隼
Salix occidentalisinensis	华西柳
Trachyphonus margaritatus	黄胸拟啄木
Primula fernaldiana	雅东粉报春
Rhododendron trichostomum var. ledoides	筒花毛嘴杜鹃
Hemiergis graciloides	细拟石龙子
Saxifraga lychnitis	燃灯虎耳草
Hyla sumienrasti	苏密卡雨蛙
Discophora sondaica subsp. zal	凤眼方环蝶喜马亚种
Microtropis paucinervia	少脉假卫矛
Rhamnella caudata	尾叶猫乳
Manucodia ater	黑辉风鸟
Petaurista elegans	小鼯鼠
Thoressa latris	徕陀弄蝶
Carex ischnostachya	狭穗薹草
Athyrium melanolepis	黑鳞蹄盖蕨
Mecopisthes rhomboidalis	梭形额突蛛
Passiflora jianfengensis	尖峰西番莲
Emberiza buchanani subsp. neobscura	灰颈鹀
Helwingia japonica var. zhejiangensis	台湾青荚叶
Anagyrus sawadai	泽田长索跳小蜂
Lepilemur edwardsi	埃氏鼬狐猴
Synotis nagensium	锯叶合耳菊
Euphrasia amurensis	东北小米草
Primula cockburniana	鹅黄灯台报春
Chalepa bela	铃薇舟蛾
Arremonops conirostris	大黑纹头雀
Tectaria herpetocoulos	思茅叉蕨
Pervagor aspicaudus	粗尾前角鲀
Limnophila chinensis	中华石龙尾
Vulpes chama	南非狐
Apalis cinerea	灰娇莺
Chamaecyparis formosensis	红桧
Pycnonotus cafer (Linnaeus,)	黑喉红臀鹎
Cynanchum kingdonwardii	宁蒗杯冠藤
Uromyces ervi	野豌豆单胞锈菌
Vaccinium koreanum	红果越桔
Dicrostonyx richardsoni	里氏环颈旅鼠
Vicia tibetica	西藏野豌豆
Brachyrhaphis episcopi	埃氏短棒鳉
Chuanchia labiosa	黄河鱼;骨唇黄河鱼
Trisepalum birmanicum	唇萼苣苔
Neoneuromus sikkimmensis	锡金齿蛉
Lophornis stictolophus	斑冠蜂鸟
Bufo jordani	约登蟾蜍
Pelargonium radula	菊叶天竺葵
Pyracantha crenulata var. kansuensis	细叶细圆齿火棘
Saxifraga saxicola	岩生虎耳草
Mulloidichthys samoensis	斑带拟羊鱼
Aleuritopteris subvillosa	西藏粉背蕨;绒毛粉背蕨
Albunea okinawaensis	琉球管须蟹
Chamerion latifolium	宽叶柳兰
Ochotona nubrica	奴布拉鼠兔;尼泊尔鼠兔
Ranunculus intramongolicus	内蒙古毛茛
Schisandra sphaerandra	球蕊五味子
Bufo philippinicus	菲律宾蟾蜍
Microstegium fauriei subsp. geniculatum	膝曲莠竹
Vanmanenia tetraloba	横斑原缨口鳅
Xiphophorus variatus	杂色剑尾鱼
Gentianopsis barbata	黄白扁蕾;细萼扁蕾;扁蕾
Dolichopus roborovskii	茹氏长足虻
Thalamita spinifera	刺短桨蟹
Pachydactylus purcelli Boulenger	陶斯河肥趾虎
Lethe rohria subsp. daemoniaca	波纹黛眼蝶台湾亚种
Atelopus chiriguiensis	五指斑蟾
Turdus philomelosBrehm	欧歌鸫
Anisodus acutangulus var. breviflorus	三分七
Pycnonotus aurigaster	白喉红臀鹎
Allantodia tibetica	西藏短肠蕨
Torreya nucifera	日本榧树
Cleistanthus tonkinensis	馒头果
Astragalus golmunensis	格尔木黄耆;少毛格尔木黄耆
Anoectochilus crispus	小齿唇兰
Arisaema bathycoleum	银南星
Cuscuta macrolepis	大鳞菟丝子
Leptopelis aubryi	阿贝小黑蛙
Bufo preussi	普罗伊斯蟾蜍
Leptodactylus troglodytes A.Lutz	穴细趾蟾
Corydalis ternatifolia	神农架紫堇
Anthophora codentata	联齿条蜂
Hemidactylus peruvianus	秘鲁蜥虎
Philodromus leucomarginatus	白缘逍遥蛛
Dendragapus falcipennis	镰翅鸡
Osteobrama feae	费氏骨鳊
Typhlops pasmmeces	沙盲蛇
Hercostomus qingchenganus	青城山寡长足虻
Teratozephyrus hecale	黑铁灰蝶
Phyllanthus breyninoides	龙州珠子大
Hypoglossum fujianensis	福建下舌藻
Mekongina erythrospila	湄公鱼
Begonia baviensis	金平秋海棠
Symphysodon discus Heckel	盘丽鱼
Microphis caudocarinatus	尾嵴腹囊海龙
Deudorix hypargyria	银下玳灰蝶
Artibeus concolor	单色食果蝠;匀色美洲果蝠
Centrolenella talamancae	塔莱小跗蛙
Crocidura nigeriae	黑麝鼩
Pilea bambusifolia	竹叶冷水花
Cyprinus pellegrini Tchang	大头鲤
Oriolus albiloris	白眼黄鹂
Amblypsilopus aurichalceus	耳雅长足虻
Scinaia tsinglanensis	清澜鲜奈藻
Cirrhitichthys oxycephalusBleeker	尖头金鱼翁
Pholcus spilis	星斑幽灵蛛
Heteromacoma irus	粗异白樱蛤
Goodyera velutina	绒叶斑叶兰
Hydrogonium subcomosum	东亚石灰藓
Kamaka biwae	齿掌卡马钩虾
Leontopodium smithianum	绢茸火绒草
Alloxiphidiopsis cyclolamina	环板异剑螽
Sphagnum tenellum	柔叶泥炭藓
Japalura zhaoermii	汶川攀蜥
Platanthera mandarinorum subsp. formosana	台湾尾瓣舌唇兰
Cissa thalassina (Teminck,)	东方绿鹊
Ranunculus hirtellus var. orientalis	三裂毛茛
Cricetulus barabensis	黑线仓鼠
Spermophaga ruficapilla	红头蓝嘴雀
Odorrana versabilis	竹叶臭蛙
Cephalanthus tetrandrus	风箱树
Pimpinella flaccida	细软茴芹
Rutilus basak	泽生拟鲤
Wrightia coccinea	云南倒吊笔
Coregonus pallasii	帕拉白鲑
Hygrohypnum luridum	水灰藓圆蒴变种;水灰藓
Hyla crepitans	鼠吱雨蛙
Rhododendron mekongense var. melinanthum	密花弯月杜鹃
Teredo diederichseni	狄氏船蛆
Litoria nyakalensis	尼亚卡雨滨蛙
Reevesia pubescens var. kwangsiensis	广西梭罗
Tachybaptus ruficollis subsp. capensis	小
Dussumieria hasselti Bleeker	圆腹鲱
Cepora nerissa	黑脉园粉蝶;黑脉粉蝶
Rana t.tigrina Daudin	虎纹蛙指名亚种
Heteropsis vola	白带沃眼蝶
Serrasalmus medinai	梅氏锯脂鲤
Talonostrea talonata	猫爪牡蛎
Psyllaephagus latiscapus	阔柄木虱跳小蜂
Xenobatrachus ocellatus	眼斑异颌蛙
Entodon prorepens	横生绢藓
Leptodermis pumila	短小野丁香
Chorizopes nipponicus	日本壮头蛛
Bunomys prolatus	前缘丘鼠
Pavetta tomentosa	绒毛大沙叶
Microterys jiamusiensis	佳木斯花翅跳小蜂
Phylloscopus inornatus	黄眉柳莺
Ancylostemon hekouensis	河口直瓣苣苔
Calanthe actinomorpha	辐射虾脊兰
Lithocarpus melanochromus	黑柯
Ribes humile	矮醋栗
Psathyrostachys juncea var. hyalantha	紫药新麦草
Taraxacum abbreviatulum	短茎蒲公英
Sialis versicoloris	异色泥蛉
Ormosia pubescens	柔毛红豆
Diapterus plumieriCuvier	条纹滑鳍银鲈
Agapetes mitrarioides	亮红树萝卜
Hippa truncatifrons	截额蝉蟹
Eleocharis intersita	中间型荸荠;内蒙古荸荠
Fragum bannoi	班氏脊鸟蛤
Bupleurum smithii var. parvifolium	小叶黑柴胡
Xylocopa latipes	扁柄木蜂
Gymnosporangium turkestanicum	土尔克斯坦胶锈
Athyma jina	玉杵带蛱蝶
Salix gracilior	细枝柳
Plethodon j.melaventris	
Aconitum alboviolaceum var. erectum	直立两色乌头
Cyperus alternifolius subsp. flabelliformis	风车草
Xenocalamus bicolor Gunther	双色羽吻蛇
Pedicularis rigida	坚挺马先蒿
Scomberomorus niphonius	蓝点马鲛
Selaginella picta	黑顶卷柏
Neomartensia flabelliformis	扇形新红网藻
Zanthoxylum bungeanum var. punctatum	油叶花椒
Prinia pectoralis	棕耳鹪莺
Francolinus harwoodi	哈伍德氏鹧鸪
Lithocarpus listeri	谊柯
Phrynomantis nasuta Methuen et Hewitt	吻螳蛙
Libystes edwardsi	艾氏突颚蟹
Lychnis coronaria	毛剪秋罗
Phrynocephalus theobaldi Blyth	西藏沙蜥
Cynops cyanurus Liu,Hu et Yang	蓝尾蝾螈
Pelteobagrus nitidus	光泽黄颡鱼
Gazella granti	格氏羚
Carex longerostrata var. hoi	城弯薹草
Chrysanthemum indicum	野菊
Rhododendron maculiferum	麻花杜鹃;黄山杜鹃
Berberis gilgiana	涝峪小檗
Thripophaga fusciceps	纯色软尾雀
Valeriana briquetiana	滇北缬草
Phoenicurus alaschanicus (Przevalski,)	贺兰山红尾鸲
Oryzias javanicus	爪哇青鳉
Babax waddelli	大草鹛
Erpornis zantholeuca subsp. tyrannula	白腹凤鹛
Ceratophrys calcarata Boulenger	距角花蟾
Nepalomyia hiantula	开跗距长足虻
Ardisia filiformis	狭叶紫金牛
Polygonum viviparum	细叶珠芽蓼;珠芽蓼
Eragrostis ciliata	纤毛画眉草
Dolomiaea calophylla	美叶川木香
Polygala chinensis	华南远志;矮华南远志;长毛华南远志
Rana vertebralis	嵴蛙
Neoalsomitra clavigera	藏棒锤瓜
Eleutherodactylus bisignatus	双符卵齿蟾
Tragopogon pseudomajor	北疆婆罗门参
Sphaerodactylus argus	眼斑球趾虎
Puccinia thibetana	西藏柄锈菌
Neope muirheadii subsp. muirheadii	蒙链荫眼蝶指名亚种
Salvelinus anaktuvukensis	阿拉斯加红点鲑
Delphinium tongolense	川西翠雀花
Lonchophylla robusta	巴拿马长舌蝠;强壮长舌蝠
Monasa morphoeus	白额尼鴷
Vanellus miles	装脸麦鸡
Parapercis hexophthalma	斑尾拟鲈
Primula tzetsouensis	心叶黄花报春
Tangara heinei	黑顶唐加拉雀
Gerbillus acticola	岸栖小沙鼠
Trichostomum barbuloides	舌叶毛口藓
Lithocarpus collettii	格林柯
Parnassia epunctulata	无斑梅花草
Villa fasciata	条纹绒蜂虻
Ophichthus cephalozona Bleeker	颈斑蛇鳗
Staurois latopalmatus	掌湍蛙
Sarothrura ayresi	白翅侏秧鸡
Pygiptila stellaris	点翅蚁(贝鸟)
Neptis sinocartica	中华卡环蛱蝶
Thomasomys cinereiventer	灰腹岭鼠
Limnodynastes tasmaniensis	塔斯汀蟾
Shijimia moorei	山灰蝶
Astragalus bicuspis	二尖齿黄耆
Barbus bagbwensis	巴格文魮
Hyla aurata Wied	橙雨蛙
Arachniodes nanqingensis	南靖复叶耳蕨
Elaphe flavolineata	黄纹锦蛇
Lagochilus grandiflorus	大花兔唇花
Melanochlora sultanea subsp. flavocristata	冕雀
Artabotrys hainanensis	狭瓣鹰爪花
Bryopsis cespitosa	簇生羽藻
Otus gurneyi	巨角鸮
Osgoodomys banderanus	奥氏鼠
Heteronucia elegans	秀丽异核果蟹
Valeriana minutiflora	小花缬草
Arenaria juncea var. glabra	无毛老牛筋
Aplocheilichthys meyburghi	迈氏灯鳉
Myosorex tenuis	瘦鼩鼱
Steatoda wangi	王氏肥腹蛛
Tanakia limbata	黄褐田中鳑鲏
Philautus medogensis	墨脱小树蛙
Synalpheus fossor	掘沙合鼓虾
Rana j.japonica Guenther	日本林蛙指名亚种
Colius macrourus	蓝顶鼠鸟
Pitta nympha (Linnaeus,)	仙八色鸫
Priapella chamulae	胭脂锯花鳉
Camaroptera simplex	灰拱翅莺
Sybistroma compressus	扁角粗柄长足虻
Phylloscopus sindianus	东方叽咋柳莺;东方叽喳柳莺
Lepidium alashanicum	阿拉善独行菜
Rubus idaeopsis	拟覆盆子
Cnemaspis quattuorseriata	四线东虎
Parnassia longipetaloides	似长瓣梅花草
Hemitremia flammeus	半孔鱼
Rubus tsangii	光滑悬钩子;铅山悬钩子
Rhacophorus javanus	爪哇树蛙
Romanogobio johntreadwelli	山西罗马诺鮈
Plagiothecium subulatum	狭叶棉藓
Prosopium williamsoni	山地柱白鲑
Meliphaga plumula	黄额吸蜜鸟
Lotus angustissimus	尖齿百脉根
Atractaspis dahomeyensis	达荷美穴蝰
Aphanopus carbo	隐足鱼
Erodium stephanianum	牻牛儿苗
Brachytoma tawamurai	台湾短口螺
Crocidura hispida	针毛麝鼩
Campsicnemus obscuratus	幽暗曲胫长足虻
Clematis kockiana	滇川铁线莲
Heterobranchus longigillis Cuvier et Valenciennes	长丝异鳃鲇
Melithreptus laetior	金背抚蜜鸟
Ophiorrhiza hispidula	版纳蛇根草
Paramyxine yangi	杨氏副盲鳗
Pseudoperilampus lighti Wu	彩石鲋
Polypogon ivanovae	伊凡棒头草
Bufo maculatus Hallowell	花纹蟾蜍
Onychium plumosum	繁羽金粉蕨
Carex polycephala	简单多头苔草
Arctosa laminata	片熊蛛
Pelophylax nigrolineatus	黑斜线侧褶蛙
Abraximorpha pieridoides	粉白弄蝶
Phenacogaster ojitatus	贪食平腹脂鲤
Cirripectes castaneus	黑斑繐肩鳚
Tricyrtis ovatifolia	卵叶油点草
Sciurocheirus gabonensis	加蓬松鼠婴猴
Indophantes halonatus	月晕斑皿蛛
Salix sclerophylla var. tibetica	小叶硬叶柳
Niltava poliogenys (Brooks,)	灰颊仙鹟
Conger japonicus	日本康吉鳗
Barun trigranulum	三突巴隆蟹
Crepis pratensis	草甸还阳参
Aconitum geniculatum	长距膝瓣乌头;膝瓣乌头
Pardosa daqingshanica	大青山豹蛛
Kunugia brunnea	褐色杂枯叶蛾
Seriphidium scopiforme	帚状绢蒿
Leptopelis natalensis	纳塔尔小黑蛙
Rana exilispinosa Liu et Hu	小棘蛙
Poeciliopsis occidentalis	西域若花鳉
Lepus granatensis	伊岛兔;格拉纳达野兔
Seicercus xanthoschistus	灰头鹟莺
Alces alces	驼鹿、堪达罕、犴;驼鹿
Yamia watasei	渡濑雅美蛛
Aerides falcatum	指甲兰
Salix liouana	黄龙柳
Astragalus ochrias	中宁黄耆
Nemachilus gejiuensis Chu et Chen	个旧盲条鳅
Calamagrostis hedinii	短芒拂子茅
Aerodramus brevirostris (McClelland,)	短嘴金丝燕
Bycanistes bucinator	噪犀鸟
Marsdenia tomentosa	假防己
Phyllagathis tetrandra	四蕊熊巴掌
Triturus v.kosswigi Freytag	普通欧螈博卢亚种
Trigona pagdeni	黑胸无刺蜂
Paramesotriton chinensis	中国瘰螈
